# Quranic Arabic Corpus - Dependency Treebank Data
# Scope: Full Quran (114 chapters, 6236 verses)
# Format: CHILD | PARENT | RELATION | ARABIC_LABEL | ENGLISH_LABEL
#
# Source: Extracted from syntax.txt in quranic-corpus.war
# Notation: CHILD -> PARENT (child depends on parent)
#
CHILD	PARENT	RELATION	ARABIC_LABEL	ENGLISH_LABEL
(2:7:10)	(2:7:10)	gen	جار ومجرور	Prepositional phrase
(2:7:12)	(2:7:11)	adj	صفة	Adjective
(2:8:1)	(2:8:2)	PP	PP	PP
(2:8:6)	(2:8:6)	PP	PP	PP
(2:8:7)	(2:8:7)	PP	PP	PP
(2:8:5)	(2:8:8)	VS	VS	VS
(2:8:4)	(2:8:8)	VS	VS	VS
(2:8:2)	(2:8:1)	gen	جار ومجرور	Prepositional phrase
(2:8:5)	(2:8:5)	subj	فاعل	Subject
(2:8:6)	(2:8:6)	gen	جار ومجرور	Prepositional phrase
(2:8:7)	(2:8:7)	gen	جار ومجرور	Prepositional phrase
(2:8:8)	(2:8:7)	adj	صفة	Adjective
(2:8:11)	(2:8:11)	PP	PP	PP
(2:8:10)	(2:8:9)	subjx	اسم كان	Subject of special verb
(2:8:11)	(2:8:11)	gen	جار ومجرور	Prepositional phrase
(2:9:4)	(2:9:4)	VS	VS	VS
(2:9:1)	(2:9:1)	subj	فاعل	Subject
(2:9:2)	(2:9:1)	obj	مفعول به	Object
(2:9:3)	(2:9:2)	conj	معطوف	Coordinating conjunction
(2:9:4)	(2:9:4)	subj	فاعل	Subject
(2:9:6)	(2:9:5)	neg	neg	neg
(2:9:6)	(2:9:6)	subj	فاعل	Subject
(2:9:7)	(2:9:8)	res	res	res
(2:9:8)	(2:9:6)	obj	مفعول به	Object
(2:9:8)	(2:9:8)	poss	مضاف إليه	Possessive
(2:9:10)	(2:9:9)	neg	neg	neg
(2:9:10)	(2:9:10)	subj	فاعل	Subject
(2:10:1)	(2:10:2)	PP	PP	PP
(2:10:2)	(2:10:1)	gen	جار ومجرور	Prepositional phrase
(2:10:2)	(2:10:2)	poss	مضاف إليه	Possessive
(2:10:4)	(2:10:4)	obj	مفعول به	Object
(2:10:5)	(2:10:4)	subj	فاعل	Subject
(2:10:6)	(2:10:4)	obj	مفعول به	Object
(2:10:7)	(2:10:7)	PP	PP	PP
(2:10:10)	(2:10:10)	PP	PP	PP
(2:10:12)	(2:10:12)	VS	VS	VS
(2:10:11)	(2:10:12)	NS	NS	NS
(2:10:7)	(2:10:7)	gen	جار ومجرور	Prepositional phrase
(2:10:9)	(2:10:8)	adj	صفة	Adjective
(2:10:10)	(2:10:10)	gen	جار ومجرور	Prepositional phrase
(2:10:11)	(2:10:11)	subjx	اسم كان	Subject of special verb
(2:10:12)	(2:10:12)	subj	فاعل	Subject
(2:11:3)	(2:11:3)	PP	PP	PP
(2:11:6)	(2:11:7)	PP	PP	PP
(2:11:4)	(2:11:7)	VS	VS	VS
(2:11:2)	(2:11:7)	VS	VS	VS
(2:11:3)	(2:11:3)	gen	جار ومجرور	Prepositional phrase
(2:11:5)	(2:11:4)	pro	نهي	Prohibition
(2:11:5)	(2:11:5)	subj	فاعل	Subject
(2:11:7)	(2:11:6)	gen	جار ومجرور	Prepositional phrase
(2:11:9)	(2:11:11)	NS	NS	NS
(2:11:8)	(2:11:11)	VS	VS	VS
(2:11:8)	(2:11:8)	subj	فاعل	Subject
(2:11:9)	(2:11:9)	prev	prev	prev
(2:11:11)	(2:11:10)	pred	مبتدأ وخبر	Predicate
(2:12:3)	(2:12:4)	NS	NS	NS
(2:12:2)	(2:12:1)	inc	inc	inc
(2:12:2)	(2:12:2)	subjx	اسم كان	Subject of special verb
(2:12:4)	(2:12:3)	pred	مبتدأ وخبر	Predicate
(2:12:5)	(2:12:5)	sup	sup	sup
(2:12:6)	(2:12:5)	amd	amd	amd
(2:12:7)	(2:12:6)	neg	neg	neg
(2:12:7)	(2:12:7)	subj	فاعل	Subject
(2:13:3)	(2:13:3)	PP	PP	PP
(2:13:5)	(2:13:5)	PP	PP	PP
(2:13:6)	(2:13:7)	VS	VS	VS
(2:13:4)	(2:13:7)	VS	VS	VS
(2:13:2)	(2:13:7)	VS	VS	VS
(2:13:3)	(2:13:3)	gen	جار ومجرور	Prepositional phrase
(2:13:4)	(2:13:4)	subj	فاعل	Subject
(2:13:5)	(2:13:5)	gen	جار ومجرور	Prepositional phrase
(2:13:7)	(2:13:6)	subj	فاعل	Subject
(2:13:10)	(2:13:10)	PP	PP	PP
(2:13:11)	(2:13:12)	VS	VS	VS
(2:13:9)	(2:13:12)	VS	VS	VS
(2:13:8)	(2:13:12)	VS	VS	VS
(2:13:8)	(2:13:8)	subj	فاعل	Subject
(2:13:9)	(2:13:9)	intg	intg	intg
(2:13:10)	(2:13:10)	gen	جار ومجرور	Prepositional phrase
(2:13:12)	(2:13:11)	subj	فاعل	Subject
(2:13:15)	(2:13:16)	NS	NS	NS
(2:13:14)	(2:13:13)	inc	inc	inc
(2:13:14)	(2:13:14)	subjx	اسم كان	Subject of special verb
(2:13:16)	(2:13:15)	pred	مبتدأ وخبر	Predicate
(2:13:17)	(2:13:17)	sup	sup	sup
(2:13:18)	(2:13:17)	amd	amd	amd
(2:13:19)	(2:13:18)	neg	neg	neg
(2:13:19)	(2:13:19)	subj	فاعل	Subject
(2:14:4)	(2:14:4)	VS	VS	VS
(2:14:2)	(2:14:4)	VS	VS	VS
(2:14:6)	(2:14:6)	VS	VS	VS
(2:14:5)	(2:14:6)	VS	VS	VS
(2:14:2)	(2:14:2)	subj	فاعل	Subject
(2:14:3)	(2:14:2)	obj	مفعول به	Object
(2:14:4)	(2:14:4)	subj	فاعل	Subject
(2:14:5)	(2:14:5)	subj	فاعل	Subject
(2:14:6)	(2:14:6)	subj	فاعل	Subject
(2:14:9)	(2:14:10)	PP	PP	PP
(2:14:8)	(2:14:10)	VS	VS	VS
(2:14:8)	(2:14:8)	subj	فاعل	Subject
(2:14:10)	(2:14:9)	gen	جار ومجرور	Prepositional phrase
(2:14:10)	(2:14:10)	poss	مضاف إليه	Possessive
(2:14:12)	(2:14:13)	NS	NS	NS
(2:14:11)	(2:14:13)	VS	VS	VS
(2:14:11)	(2:14:11)	subj	فاعل	Subject
(2:14:12)	(2:14:12)	subjx	اسم كان	Subject of special verb
(2:14:13)	(2:14:13)	poss	مضاف إليه	Possessive
(2:14:14)	(2:14:14)	prev	prev	prev
(2:14:16)	(2:14:15)	pred	مبتدأ وخبر	Predicate
(2:15:3)	(2:15:3)	PP	PP	PP
(2:15:2)	(2:15:3)	VS	VS	VS
(2:15:3)	(2:15:3)	gen	جار ومجرور	Prepositional phrase
(2:15:5)	(2:15:6)	PP	PP	PP
(2:15:7)	(2:15:7)	VS	VS	VS
(2:15:4)	(2:15:2)	conj	معطوف	Coordinating conjunction
(2:15:4)	(2:15:4)	obj	مفعول به	Object
(2:15:6)	(2:15:5)	gen	جار ومجرور	Prepositional phrase
(2:15:6)	(2:15:6)	poss	مضاف إليه	Possessive
(2:15:7)	(2:15:7)	subj	فاعل	Subject
(2:16:5)	(2:16:5)	PP	PP	PP
(2:16:3)	(2:16:5)	VS	VS	VS
(2:16:2)	(2:16:1)	pred	مبتدأ وخبر	Predicate
(2:16:3)	(2:16:3)	subj	فاعل	Subject
(2:16:4)	(2:16:3)	obj	مفعول به	Object
(2:16:5)	(2:16:5)	gen	جار ومجرور	Prepositional phrase
(2:16:7)	(2:16:6)	neg	neg	neg
(2:16:8)	(2:16:7)	subj	فاعل	Subject
(2:16:8)	(2:16:8)	poss	مضاف إليه	Possessive
(2:16:9)	(2:16:6)	conj	معطوف	Coordinating conjunction
(2:16:10)	(2:16:9)	neg	neg	neg
(2:16:10)	(2:16:10)	subjx	اسم كان	Subject of special verb
(2:16:11)	(2:16:10)	predx	خبر كان	Predicate of special verb
(2:17:2)	(2:17:2)	PP	PP	PP
(2:17:4)	(2:17:5)	VS	VS	VS
(2:17:1)	(2:17:1)	poss	مضاف إليه	Possessive
(2:17:2)	(2:17:2)	gen	جار ومجرور	Prepositional phrase
(2:17:3)	(2:17:2)	poss	مضاف إليه	Possessive
(2:17:5)	(2:17:4)	obj	مفعول به	Object
(2:17:7)	(2:17:9)	VS	VS	VS
(2:17:8)	(2:17:7)	obj	مفعول به	Object
(2:17:9)	(2:17:9)	poss	مضاف إليه	Possessive
(2:17:12)	(2:17:12)	PP	PP	PP
(2:17:10)	(2:17:12)	VS	VS	VS
(2:17:11)	(2:17:10)	subj	فاعل	Subject
(2:17:12)	(2:17:12)	gen	جار ومجرور	Prepositional phrase
(2:17:12)	(2:17:12)	poss	مضاف إليه	Possessive
(2:17:14)	(2:17:15)	PP	PP	PP
(2:17:13)	(2:17:10)	conj	معطوف	Coordinating conjunction
(2:17:13)	(2:17:13)	obj	مفعول به	Object
(2:17:15)	(2:17:14)	gen	جار ومجرور	Prepositional phrase
(2:17:16)	(2:17:17)	VS	VS	VS
(2:17:13)	(2:17:13)	obj	مفعول به	Object
(2:17:17)	(2:17:16)	neg	neg	neg
(2:17:17)	(2:17:17)	subj	فاعل	Subject
(2:18:5)	(2:18:6)	VS	VS	VS
(2:18:6)	(2:18:5)	neg	neg	neg
(2:18:6)	(2:18:6)	subj	فاعل	Subject
(2:19:2)	(2:19:2)	PP	PP	PP
(2:19:3)	(2:19:4)	PP	PP	PP
(2:19:2)	(2:19:2)	gen	جار ومجرور	Prepositional phrase
(2:19:4)	(2:19:3)	gen	جار ومجرور	Prepositional phrase
(2:19:5)	(2:19:5)	PP	PP	PP
(2:19:5)	(2:19:8)	NS	NS	NS
(2:19:2)	(2:19:2)	gen	جار ومجرور	Prepositional phrase
(2:19:5)	(2:19:5)	gen	جار ومجرور	Prepositional phrase
(2:19:7)	(2:19:6)	conj	معطوف	Coordinating conjunction
(2:19:8)	(2:19:7)	conj	معطوف	Coordinating conjunction
(2:19:11)	(2:19:12)	PP	PP	PP
(2:19:9)	(2:19:9)	subj	فاعل	Subject
(2:19:10)	(2:19:9)	obj	مفعول به	Object
(2:19:10)	(2:19:10)	poss	مضاف إليه	Possessive
(2:19:12)	(2:19:11)	gen	جار ومجرور	Prepositional phrase
(2:19:12)	(2:19:12)	poss	مضاف إليه	Possessive
(2:19:13)	(2:19:14)	PP	PP	PP
(2:19:9)	(2:19:9)	subj	فاعل	Subject
(2:19:14)	(2:19:13)	gen	جار ومجرور	Prepositional phrase
(2:19:15)	(2:19:9)	prp	المفعول لأجله	Accusative of purpose
(2:19:16)	(2:19:15)	poss	مضاف إليه	Possessive
(2:19:19)	(2:19:19)	PP	PP	PP
(2:19:18)	(2:19:17)	pred	مبتدأ وخبر	Predicate
(2:19:19)	(2:19:19)	gen	جار ومجرور	Prepositional phrase
(2:20:3)	(2:20:4)	VS	VS	VS
(2:20:2)	(2:20:1)	subjx	اسم كان	Subject of special verb
(2:20:4)	(2:20:3)	obj	مفعول به	Object
(2:20:4)	(2:20:4)	poss	مضاف إليه	Possessive
(2:20:7)	(2:20:7)	PP	PP	PP
(2:20:6)	(2:20:7)	VS	VS	VS
(2:20:9)	(2:20:9)	PP	PP	PP
(2:20:8)	(2:20:9)	VS	VS	VS
(2:20:7)	(2:20:7)	gen	جار ومجرور	Prepositional phrase
(2:20:8)	(2:20:8)	subj	فاعل	Subject
(2:20:9)	(2:20:9)	gen	جار ومجرور	Prepositional phrase
(2:20:12)	(2:20:12)	PP	PP	PP
(2:20:11)	(2:20:12)	VS	VS	VS
(2:20:13)	(2:20:13)	VS	VS	VS
(2:20:12)	(2:20:12)	gen	جار ومجرور	Prepositional phrase
(2:20:13)	(2:20:13)	subj	فاعل	Subject
(2:20:15)	(2:20:16)	VS	VS	VS
(2:20:16)	(2:20:15)	subj	فاعل	Subject
(2:20:18)	(2:20:18)	PP	PP	PP
(2:20:17)	(2:20:19)	VS	VS	VS
(2:20:17)	(2:20:17)	emph	emph	emph
(2:20:18)	(2:20:18)	gen	جار ومجرور	Prepositional phrase
(2:20:18)	(2:20:18)	poss	مضاف إليه	Possessive
(2:20:19)	(2:20:18)	conj	معطوف	Coordinating conjunction
(2:20:19)	(2:20:19)	poss	مضاف إليه	Possessive
(2:20:22)	(2:20:23)	PP	PP	PP
(2:20:21)	(2:20:20)	subjx	اسم كان	Subject of special verb
(2:20:23)	(2:20:22)	gen	جار ومجرور	Prepositional phrase
(2:20:24)	(2:20:23)	poss	مضاف إليه	Possessive
(2:20:25)	(2:20:20)	predx	خبر كان	Predicate of special verb
(2:21:1)	(2:21:1)	voc	voc	voc
(2:21:2)	(2:21:1)	app	بدل	Apposition
(2:21:3)	(2:21:3)	subj	فاعل	Subject
(2:21:4)	(2:21:3)	obj	مفعول به	Object
(2:21:4)	(2:21:4)	poss	مضاف إليه	Possessive
(2:21:8)	(2:21:9)	PP	PP	PP
(2:21:6)	(2:21:9)	VS	VS	VS
(2:21:4)	(2:21:4)	poss	مضاف إليه	Possessive
(2:21:5)	(2:21:4)	adj	صفة	Adjective
(2:21:6)	(2:21:6)	obj	مفعول به	Object
(2:21:7)	(2:21:6)	conj	معطوف	Coordinating conjunction
(2:21:9)	(2:21:8)	gen	جار ومجرور	Prepositional phrase
(2:21:9)	(2:21:9)	poss	مضاف إليه	Possessive
(2:21:11)	(2:21:11)	VS	VS	VS
(2:21:10)	(2:21:10)	subjx	اسم كان	Subject of special verb
(2:21:11)	(2:21:11)	subj	فاعل	Subject
(2:22:3)	(2:22:3)	PP	PP	PP
(2:22:2)	(2:22:5)	VS	VS	VS
(2:22:1)	(2:21:5)	app	بدل	Apposition
(2:22:3)	(2:22:3)	gen	جار ومجرور	Prepositional phrase
(2:22:4)	(2:22:2)	obj	مفعول به	Object
(2:22:5)	(2:22:2)	obj	مفعول به	Object
(2:22:6)	(2:22:2)	obj	مفعول به	Object
(2:22:7)	(2:22:2)	obj	مفعول به	Object
(2:22:9)	(2:22:10)	PP	PP	PP
(2:22:8)	(2:22:2)	conj	معطوف	Coordinating conjunction
(2:22:10)	(2:22:9)	gen	جار ومجرور	Prepositional phrase
(2:22:11)	(2:22:8)	obj	مفعول به	Object
(2:22:13)	(2:22:13)	PP	PP	PP
(2:22:14)	(2:22:15)	PP	PP	PP
(2:22:17)	(2:22:17)	PP	PP	PP
(2:22:13)	(2:22:13)	gen	جار ومجرور	Prepositional phrase
(2:22:15)	(2:22:14)	gen	جار ومجرور	Prepositional phrase
(2:22:16)	(2:22:12)	obj	مفعول به	Object
(2:22:17)	(2:22:17)	gen	جار ومجرور	Prepositional phrase
(2:22:20)	(2:22:20)	PP	PP	PP
(2:22:23)	(2:22:23)	VS	VS	VS
(2:22:22)	(2:22:23)	NS	NS	NS
(2:22:19)	(2:22:18)	pro	نهي	Prohibition
(2:22:19)	(2:22:19)	subj	فاعل	Subject
(2:22:20)	(2:22:20)	gen	جار ومجرور	Prepositional phrase
(2:22:21)	(2:22:19)	obj	مفعول به	Object
(2:22:23)	(2:22:23)	subj	فاعل	Subject
(2:23:3)	(2:23:4)	PP	PP	PP
(2:23:2)	(2:23:4)	NS	NS	NS
(2:23:2)	(2:23:2)	subjx	اسم كان	Subject of special verb
(2:23:4)	(2:23:3)	gen	جار ومجرور	Prepositional phrase
(2:23:5)	(2:23:5)	PP	PP	PP
(2:23:7)	(2:23:8)	PP	PP	PP
(2:23:6)	(2:23:8)	VS	VS	VS
(2:23:5)	(2:23:5)	gen	جار ومجرور	Prepositional phrase
(2:23:6)	(2:23:6)	subj	فاعل	Subject
(2:23:8)	(2:23:7)	gen	جار ومجرور	Prepositional phrase
(2:23:8)	(2:23:8)	poss	مضاف إليه	Possessive
(2:23:10)	(2:23:10)	PP	PP	PP
(2:23:11)	(2:23:12)	PP	PP	PP
(2:23:9)	(2:23:12)	VS	VS	VS
(2:23:9)	(2:23:9)	subj	فاعل	Subject
(2:23:10)	(2:23:10)	gen	جار ومجرور	Prepositional phrase
(2:23:12)	(2:23:11)	gen	جار ومجرور	Prepositional phrase
(2:23:12)	(2:23:12)	poss	مضاف إليه	Possessive
(2:23:15)	(2:23:16)	PP	PP	PP
(2:23:9)	(2:23:9)	subj	فاعل	Subject
(2:23:13)	(2:23:9)	conj	معطوف	Coordinating conjunction
(2:23:13)	(2:23:13)	subj	فاعل	Subject
(2:23:14)	(2:23:13)	obj	مفعول به	Object
(2:23:14)	(2:23:14)	poss	مضاف إليه	Possessive
(2:23:16)	(2:23:15)	gen	جار ومجرور	Prepositional phrase
(2:23:17)	(2:23:16)	poss	مضاف إليه	Possessive
(2:23:19)	(2:23:20)	NS	NS	NS
(2:23:19)	(2:23:19)	subjx	اسم كان	Subject of special verb
(2:23:20)	(2:23:19)	predx	خبر كان	Predicate of special verb
(2:24:2)	(2:24:3)	VS	VS	VS
(2:24:3)	(2:24:2)	neg	neg	neg
(2:24:3)	(2:24:3)	subj	فاعل	Subject
(2:24:5)	(2:24:4)	neg	neg	neg
(2:24:5)	(2:24:5)	subj	فاعل	Subject
(2:24:9)	(2:24:11)	NS	NS	NS
(2:24:6)	(2:24:11)	VS	VS	VS
(2:24:6)	(2:24:6)	subj	فاعل	Subject
(2:24:7)	(2:24:6)	obj	مفعول به	Object
(2:24:8)	(2:24:7)	adj	صفة	Adjective
(2:24:9)	(2:24:9)	poss	مضاف إليه	Possessive
(2:24:10)	(2:24:9)	pred	مبتدأ وخبر	Predicate
(2:24:11)	(2:24:10)	conj	معطوف	Coordinating conjunction
(2:24:13)	(2:24:13)	PP	PP	PP
(2:24:12)	(2:24:13)	VS	VS	VS
(2:24:13)	(2:24:13)	gen	جار ومجرور	Prepositional phrase
(2:25:3)	(2:25:5)	VS	VS	VS
(2:25:2)	(2:25:1)	obj	مفعول به	Object
(2:25:3)	(2:25:3)	subj	فاعل	Subject
(2:25:4)	(2:25:3)	conj	معطوف	Coordinating conjunction
(2:25:4)	(2:25:4)	subj	فاعل	Subject
(2:25:5)	(2:25:4)	obj	مفعول به	Object
(2:25:7)	(2:25:7)	PP	PP	PP
(2:25:6)	(2:25:8)	NS	NS	NS
(2:25:7)	(2:25:7)	gen	جار ومجرور	Prepositional phrase
(2:25:8)	(2:25:6)	subjx	اسم كان	Subject of special verb
(2:25:10)	(2:25:11)	PP	PP	PP
(2:25:9)	(2:25:12)	VS	VS	VS
(2:25:11)	(2:25:10)	gen	جار ومجرور	Prepositional phrase
(2:25:11)	(2:25:11)	poss	مضاف إليه	Possessive
(2:25:12)	(2:25:9)	subj	فاعل	Subject
(2:25:15)	(2:25:15)	PP	PP	PP
(2:25:16)	(2:25:17)	PP	PP	PP
(2:25:14)	(2:25:18)	VS	VS	VS
(2:25:14)	(2:25:14)	pass	نائب فاعل	Passive subject
(2:25:15)	(2:25:15)	gen	جار ومجرور	Prepositional phrase
(2:25:17)	(2:25:16)	gen	جار ومجرور	Prepositional phrase
(2:25:18)	(2:25:14)	cog	مفعول مطلق	Cognate accusative
(2:25:23)	(2:25:24)	PP	PP	PP
(2:25:22)	(2:25:24)	VS	VS	VS
(2:25:20)	(2:25:24)	NS	NS	NS
(2:25:19)	(2:25:24)	VS	VS	VS
(2:25:19)	(2:25:19)	subj	فاعل	Subject
(2:25:21)	(2:25:20)	pred	مبتدأ وخبر	Predicate
(2:25:22)	(2:25:22)	pass	نائب فاعل	Passive subject
(2:25:24)	(2:25:23)	gen	جار ومجرور	Prepositional phrase
(2:25:26)	(2:25:26)	PP	PP	PP
(2:25:25)	(2:25:25)	pass	نائب فاعل	Passive subject
(2:25:26)	(2:25:26)	gen	جار ومجرور	Prepositional phrase
(2:25:27)	(2:25:25)	circ	حال	Circumstantial
(2:25:28)	(2:25:28)	PP	PP	PP
(2:25:29)	(2:25:29)	PP	PP	PP
(2:25:28)	(2:25:28)	gen	جار ومجرور	Prepositional phrase
(2:25:29)	(2:25:29)	gen	جار ومجرور	Prepositional phrase
(2:25:31)	(2:25:30)	adj	صفة	Adjective
(2:25:33)	(2:25:33)	PP	PP	PP
(2:25:33)	(2:25:33)	gen	جار ومجرور	Prepositional phrase
(2:25:34)	(2:25:32)	pred	مبتدأ وخبر	Predicate
(2:26:6)	(2:26:9)	VS	VS	VS
(2:26:5)	(2:26:9)	SC	SC	SC
(2:26:3)	(2:26:9)	VS	VS	VS
(2:26:2)	(2:26:1)	subjx	اسم كان	Subject of special verb
(2:26:4)	(2:26:3)	neg	neg	neg
(2:26:7)	(2:26:6)	obj	مفعول به	Object
(2:26:8)	(2:26:9)	sup	sup	sup
(2:26:9)	(2:26:7)	app	بدل	Apposition
(2:26:10)	(2:26:9)	conj	معطوف	Coordinating conjunction
(2:26:11)	(2:26:11)	poss	مضاف إليه	Possessive
(2:26:14)	(2:26:14)	VS	VS	VS
(2:26:13)	(2:26:12)	exl	exl	exl
(2:26:14)	(2:26:14)	subj	فاعل	Subject
(2:26:18)	(2:26:19)	PP	PP	PP
(2:26:16)	(2:26:19)	NS	NS	NS
